epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,609.215,1.21094,2.00527,1.47124,0.66815,0.46882,0.52179,0.3095,1.54992,2.69077,1.90936,0.000659176,0.000659176,0.000659176
2,1216.29,1.35223,1.7962,1.53964,0.36898,0.34194,0.26557,0.12212,1.93687,2.94968,2.23522,0.00129959,0.00129959,0.00129959
3,1838.28,1.46647,1.79098,1.63872,0.5432,0.4086,0.44085,0.22802,1.84519,2.29676,2.14855,0.00191361,0.00191361,0.00191361
4,2460.93,1.48279,1.68035,1.64481,0.47143,0.32258,0.33194,0.18244,2.11112,2.42053,2.18637,0.0018812,0.0018812,0.0018812
5,3068.92,1.44243,1.58253,1.62392,0.42842,0.51828,0.39026,0.19202,1.8631,2.21359,2.06419,0.0018416,0.0018416,0.0018416
6,3665.88,1.35693,1.53868,1.55891,0.5781,0.47737,0.51073,0.30379,1.65198,2.1175,1.94355,0.001802,0.001802,0.001802
7,4258.09,1.39589,1.44933,1.5904,0.71011,0.52258,0.59911,0.35934,1.60853,2.00254,1.85454,0.0017624,0.0017624,0.0017624
8,4851.66,1.32376,1.41398,1.52188,0.61859,0.53763,0.53509,0.31381,1.59414,2.14794,1.81071,0.0017228,0.0017228,0.0017228
9,5445.11,1.29248,1.37914,1.50699,0.75828,0.50597,0.61973,0.39155,1.48666,1.57666,1.71229,0.0016832,0.0016832,0.0016832
10,6039.51,1.29052,1.33294,1.48775,0.68867,0.63441,0.6702,0.41139,1.49184,1.54509,1.73588,0.0016436,0.0016436,0.0016436
11,6638,1.2648,1.28679,1.47783,0.80558,0.65048,0.69772,0.43458,1.46872,1.50492,1.72098,0.001604,0.001604,0.001604
12,7239.04,1.22639,1.25111,1.44221,0.73147,0.62151,0.69844,0.44808,1.4354,1.47778,1.69096,0.0015644,0.0015644,0.0015644
13,7837.8,1.2403,1.22979,1.46148,0.81769,0.57634,0.69765,0.44831,1.42761,1.44535,1.69381,0.0015248,0.0015248,0.0015248
14,8441.95,1.20636,1.18145,1.4468,0.78477,0.62731,0.7071,0.44617,1.48149,1.39777,1.71611,0.0014852,0.0014852,0.0014852
15,9032.84,1.20302,1.17135,1.43283,0.76899,0.66882,0.71162,0.45409,1.43451,1.36621,1.70337,0.0014456,0.0014456,0.0014456
16,9599.91,1.15524,1.12377,1.39664,0.78299,0.67506,0.73598,0.48552,1.33342,1.2992,1.61133,0.001406,0.001406,0.001406
17,10160,1.17128,1.14344,1.42272,0.7686,0.64086,0.71899,0.46438,1.39309,1.37002,1.68458,0.0013664,0.0013664,0.0013664
18,10716.3,1.14274,1.08356,1.38928,0.77579,0.66968,0.71449,0.47751,1.35559,1.31178,1.63072,0.0013268,0.0013268,0.0013268
19,11283.3,1.15416,1.11254,1.39822,0.782,0.67957,0.74123,0.49876,1.3027,1.25109,1.57899,0.0012872,0.0012872,0.0012872
20,11850.9,1.1317,1.05826,1.37166,0.83022,0.6625,0.75178,0.48552,1.33651,1.2537,1.57728,0.0012476,0.0012476,0.0012476
21,12422.1,1.09556,1.03897,1.35303,0.76255,0.71398,0.7601,0.50276,1.3323,1.19742,1.58485,0.001208,0.001208,0.001208
22,12989.1,1.10078,1.02602,1.35545,0.80535,0.67312,0.7516,0.49812,1.32782,1.23854,1.58924,0.0011684,0.0011684,0.0011684
23,13529.5,1.0967,0.99501,1.35148,0.85009,0.67742,0.75237,0.49664,1.33403,1.26123,1.60012,0.0011288,0.0011288,0.0011288
24,14063.5,1.05448,0.94616,1.32472,0.83329,0.69462,0.75876,0.51342,1.25792,1.14342,1.53496,0.0010892,0.0010892,0.0010892
25,14607.4,1.06027,0.97616,1.32283,0.80954,0.71398,0.76541,0.51694,1.29027,1.1523,1.56989,0.0010496,0.0010496,0.0010496
26,15145.5,1.03938,0.94188,1.32709,0.84774,0.69447,0.77922,0.53116,1.28165,1.14451,1.54181,0.00101,0.00101,0.00101
27,15682.6,1.0521,0.90545,1.31768,0.81102,0.70323,0.76125,0.51923,1.2569,1.16725,1.52643,0.0009704,0.0009704,0.0009704
28,16220.3,1.0338,0.93312,1.31362,0.8349,0.70968,0.76603,0.52918,1.24925,1.12173,1.53641,0.0009308,0.0009308,0.0009308
29,16761.7,1.05544,0.92254,1.32668,0.83497,0.69637,0.76798,0.51938,1.26257,1.13423,1.51197,0.0008912,0.0008912,0.0008912
30,17296.5,1.02966,0.91519,1.30313,0.83175,0.71232,0.7879,0.54403,1.22435,1.05623,1.4896,0.0008516,0.0008516,0.0008516
31,17853.2,0.99817,0.87407,1.28214,0.86984,0.71858,0.78517,0.55727,1.20724,1.02862,1.48448,0.000812,0.000812,0.000812
32,18386.8,1.01804,0.86125,1.28699,0.83781,0.73333,0.79876,0.54994,1.25207,1.08448,1.52681,0.0007724,0.0007724,0.0007724
33,18926.9,0.99248,0.87143,1.28684,0.88324,0.70108,0.76917,0.53656,1.21092,1.10949,1.49603,0.0007328,0.0007328,0.0007328
34,19468.9,0.99019,0.85614,1.27783,0.85618,0.71398,0.7941,0.56353,1.21619,1.0462,1.46712,0.0006932,0.0006932,0.0006932
35,20002.5,0.94236,0.81629,1.2432,0.8838,0.69892,0.80661,0.56082,1.22875,1.00263,1.46014,0.0006536,0.0006536,0.0006536
36,20559.9,0.97963,0.83183,1.27454,0.88866,0.70372,0.80453,0.55526,1.21023,1.05357,1.47738,0.000614,0.000614,0.000614
37,21126.9,0.94762,0.80039,1.23895,0.87138,0.74624,0.80905,0.56894,1.19117,1.03651,1.45052,0.0005744,0.0005744,0.0005744
38,21700.9,0.95956,0.79481,1.24582,0.85981,0.7386,0.80015,0.5594,1.20035,1.03232,1.44637,0.0005348,0.0005348,0.0005348
39,22273.8,0.95807,0.79985,1.25948,0.89466,0.72473,0.8058,0.56381,1.19296,1.00409,1.47005,0.0004952,0.0004952,0.0004952
40,22827,0.91974,0.7599,1.22508,0.8373,0.75699,0.81301,0.56376,1.19261,0.97452,1.47552,0.0004556,0.0004556,0.0004556
41,23396.7,0.9116,0.7381,1.26272,0.84786,0.74409,0.79626,0.56262,1.17997,1.02928,1.4541,0.000416,0.000416,0.000416
42,23932.9,0.88307,0.70193,1.24641,0.88794,0.71398,0.79684,0.57069,1.15516,0.98772,1.42249,0.0003764,0.0003764,0.0003764
43,24461.7,0.87126,0.68199,1.24276,0.85568,0.75232,0.81743,0.57782,1.18076,0.95586,1.43117,0.0003368,0.0003368,0.0003368
44,24993.4,0.8428,0.68446,1.2059,0.88182,0.74194,0.80182,0.58406,1.16018,0.98498,1.44438,0.0002972,0.0002972,0.0002972
45,25532.1,0.83686,0.62266,1.19588,0.89738,0.72043,0.80467,0.5712,1.17748,1.01137,1.4402,0.0002576,0.0002576,0.0002576
46,26072.3,0.80872,0.59223,1.1867,0.85032,0.74522,0.80115,0.57672,1.15605,0.9802,1.42551,0.000218,0.000218,0.000218
47,26602.4,0.81582,0.58943,1.17823,0.89947,0.7119,0.80073,0.57147,1.1445,0.96293,1.42237,0.0001784,0.0001784,0.0001784
48,27130.4,0.78188,0.56593,1.17321,0.85914,0.75914,0.80016,0.57556,1.1435,0.96907,1.41257,0.0001388,0.0001388,0.0001388
49,27664.9,0.81314,0.60664,1.19743,0.85593,0.75054,0.80102,0.57849,1.15155,0.96733,1.42381,9.92e-05,9.92e-05,9.92e-05
50,28190.8,0.76827,0.54856,1.1623,0.8741,0.73978,0.80019,0.57991,1.14347,0.95961,1.42435,5.96e-05,5.96e-05,5.96e-05
